,AROU_M,VAL_M,DOM_M,CNC_M,IMAG_M,FAM_M,AOA_M,SIZE_M,GEND_M
dim_78,0.03181606636385831,0.11023503081865615,0.05638130049286907,0.0677378634593028,0.07274455535058312,0.01750576215654301,-0.06394476889918106,-0.04080556875235358,-0.04174348543990023
dim_79,-0.011352188269919804,0.060414415857105226,0.04193567629751455,-0.08119890721987948,-0.06972969554874368,-0.014822635789796092,-0.011835965433795939,-0.040180557241494816,-0.06052763359759145
dim_80,-0.07960706599685388,-0.044576569588307385,-0.006254753867470282,0.03065116834255797,0.010510585906047715,-0.0684794283646951,0.0209900182792656,-0.09808494753077436,0.026323595534358823
dim_81,-9.71543442850433e-05,0.001599431955514025,-0.03621512946214384,0.0657641476334387,0.06738089701883938,0.037275112972106124,-0.05391769400633801,0.017643717874160008,0.016606122624963027
dim_82,-0.009657266731289204,-0.044885305802982486,-0.08706878106672025,-0.008488736350480426,-0.006587908987369891,0.018682479756065,-0.03709772995960374,-0.05758257998620691,-0.06274718578626236
dim_83,0.03531819546109768,-0.03658470425528104,-0.016890665041175482,-0.00348569443434986,-0.016694033229267286,0.04544549372243845,0.03060691841375392,0.02865018080647071,0.010839081176774741
dim_84,-0.012084279180494067,0.0040432720734592175,0.02038651752338674,0.04293090568496558,0.05787917169471737,0.03731901382656941,-0.027318739120499747,0.020393617763418404,-0.020457545256096214
dim_85,-0.05522252705747034,-0.0054957364107641226,-0.036709348897406846,-0.04430993175746629,-0.049855179790467885,-0.08294419617287976,0.06013303419327919,0.03551919587898079,0.03871725176069556
dim_86,0.01616394267164091,-0.02472732567050417,0.025040545789916636,0.00945262960671785,-0.009254998366812917,-0.024670065087318924,-0.007181271882317245,0.03184551182617144,0.0214293582416085
dim_87,-0.019793147046528535,0.034126688996452235,0.020069802471815158,-0.06346045461443114,-0.06898709968432033,0.04613164110563409,0.0017295854628963687,-0.030186025482177192,-0.028130707020144117
dim_88,-0.008711889799836793,0.02467675679715543,0.04687914660219822,0.025019114391114167,0.029352904978949667,0.06649142372931044,-0.021250241643718575,0.01872985004445168,0.025592557033135357
dim_89,-0.024410836408860576,0.02625715132983338,0.027151339634510583,0.06140298806669889,0.06338895531425656,-0.016574493006061047,-0.02526769704589171,0.019625562569383085,0.026564877372606373
dim_90,0.09218363194402225,0.04552931329547444,0.03406976902740117,0.019429519688936785,0.02599802219607614,0.04734813486920994,-0.05405956783038449,0.07371559511426733,0.018061278834063565
dim_91,0.0010139064586041785,0.029572511140499438,0.09475541774178854,-0.020044390508293215,0.002611598361921255,0.07509045943915776,-0.09934882997931878,-0.05861630319025926,0.005658310068313369
dim_92,0.04748550468745201,-0.024684403114454585,-0.07039960561567069,0.004972023304299596,-0.026366144581933048,-0.06589461982100214,0.04394871913701466,0.0568948285623053,-0.00695199553361453
dim_93,-0.02944876077073288,-0.020422598429799547,-0.03183054893673029,-0.03837589300332866,-0.02739635437340538,0.032430979012781753,-0.025320222443064606,-0.00018089437455424688,-0.002690377399030422
dim_94,0.00649887696992987,0.011289269760912117,0.03185745772918803,-0.051723229654381565,-0.070229748994921,-0.08188089944489416,0.06516579405372411,0.019722759629810196,0.01392642404485886
dim_95,-0.014270941803031872,-0.066445273510501,-0.057535853781725446,-0.09861269270352732,-0.10562849961382913,0.012273123259920232,0.010439099641512272,-0.042292475018733136,-0.04644048587938191
dim_96,-0.024038932628251384,-0.030449566955278975,-0.07122653380390787,-0.03642325744062176,-0.020751684603192214,0.00098632383803438,-0.01632064917297303,-0.009887309153735875,-0.03921628069765055
dim_97,0.06516271250655746,0.019713154637473623,0.024311007006533138,-0.08244883724468548,-0.06966943641809198,0.06435922157953268,-0.047127819649042946,0.030551206357155573,-0.0029366215046723603
dim_98,-0.011208211907758451,0.052678003949379555,0.03352470530819812,-0.015065208315148224,-0.01367177373437032,-0.016049298561010467,0.05028913428197111,0.040831515842157065,0.011582076997463003
dim_99,0.051588325811610235,0.08025111964576905,0.07423670394829263,-0.01973669930531381,0.02818874856088429,0.1005894196725389,-0.07580480753483594,0.03781860232150622,-0.05687228333168789
dim_100,-0.05197845583108772,-0.00935955782978627,0.008120430369685365,0.06813490814625706,0.03608781496595819,-0.08710058989467737,0.04763358877585801,-0.0949292380075895,0.00020658576713839124
dim_101,-0.006539917611652292,-0.00037812766781294033,-0.02356278247749323,0.04714821799800042,0.04035911337314212,-0.005112581061723,-0.021173629155541267,-0.0246096088932953,-0.025785277428558188
dim_102,0.03698333575854048,0.030893239158144428,0.01676881548964555,0.04921404042265105,0.06618805382992776,0.03151171132490966,-0.06764782912998149,-0.05280184747460735,-0.04761216816518806
dim_103,-0.03794446224963698,0.02294976213709358,0.03481052600309503,0.08700738284477856,0.08993115592820385,-0.011950214801063131,0.0137529758008652,0.007647267558311721,-0.012439330604863817
dim_104,0.027069168076975802,-0.012305385761481241,0.04427175606506692,0.0037971431534900096,-0.010822264779697872,-0.00015570442488195002,0.039434715321918855,0.04649011340985883,0.05500090793863871
dim_105,-0.05830618335003495,-0.011578281431914346,0.010104064687608764,0.07232239853909286,0.024894535129773198,-0.007781194106921948,-0.001462467204920509,-0.01102759222306254,0.058224703375599686
dim_106,-0.12789788388666973,-0.10464704320607371,-0.050462768080981005,0.0010425541922902731,-0.016349776706782615,-0.09793407820200412,0.09459971040474292,-0.04023163906161413,0.0900210854393562
dim_107,-0.011747759513019254,-0.0183063729359166,-0.013034673216452063,-0.02993623918391941,-0.04257591961194703,-0.08629569179496462,0.053620155449911784,-0.021615647876862935,0.04775682168400354
dim_108,0.05922195342059632,0.03015749237597053,-0.017398129951657508,0.010228680003590828,0.012115210576606444,0.024207887299636174,-0.026935055653335038,0.03522559369406374,-0.022875697218262086
dim_109,-0.03725904103271401,0.019326860584360152,-0.010231999153087316,0.007178923811130109,-0.004776114908799478,0.016690544503404455,-0.01743571738697962,-0.01863732780045874,-0.034574974704532295
dim_110,-0.041827508183212264,0.014071536859911886,-0.04012421672935947,0.07051551186962116,0.05181798568038317,-0.036833096492686894,-0.007666472928537025,-0.0198734223347003,0.02235390557991026
dim_111,-0.017774417344379272,-0.05067095242935749,-0.08201342925391018,-0.003286115097581307,-0.011398647122269746,-0.06094062849415862,0.06225482432512764,0.031808217523562145,0.003036780499312186
dim_112,-0.03223470720613189,-0.003940339903339082,0.0057883054866955065,0.0010096558717688378,0.004924882928298793,0.021218532038567075,-0.01589485073029602,-0.050431680182502006,-0.046716251367668465
dim_113,0.030085520466768073,0.016627388430202214,0.03119882157242426,0.058800180654334754,0.07899105525109282,0.044659430163073804,-0.03343812281301295,-0.05499594700200764,-0.015491876047078312
dim_114,-0.03576037157941332,0.016510948279259755,0.018209959100308013,0.042583879723035706,0.04405263954026806,0.017798235343697764,-0.06202811810672935,-0.0547088249936695,-0.013312730594816323
dim_115,0.06238158948477721,0.030863462859962512,0.023551440523553582,0.025754910170342538,0.05095661086049447,0.057639567401792664,-0.06028078186713822,0.017509469279677805,0.01450142808560991
dim_116,0.042321852128868305,-0.009864485319860821,-0.013934716413668521,-0.011117838149451621,-0.004498468916945982,0.058568864683906666,-0.05131888634827571,0.07236775749758137,-0.02417803294724876
dim_117,-0.0556091204950837,-0.031153408965262676,-0.018704881292229015,0.014549674107923063,0.006342173150477802,0.02652457908407068,-0.04976041435979464,-0.0172039717969067,0.04474905511605876
dim_118,-0.0253722452540729,0.010575183280040713,0.02814854230837657,0.018542470194678935,0.010835751302824317,-0.03001282797928886,0.003536335454711025,-0.010976412239573434,-0.01882172472411124
dim_119,-0.007990689211091818,0.020838267812546545,0.01648054968832038,-0.034064440234221824,-0.040090349993261026,-0.026157222643825234,0.02479791053712145,0.026600777728773013,0.038684315428618
dim_120,-0.06313660220538055,-0.02296960135924291,-0.04971593955006334,-0.012302176785680758,-0.014704819851410242,-0.01562994735814889,0.044035498660650464,-0.026543898796809615,0.03192607264580908
dim_121,0.02415386117877599,0.030754830935853673,0.038503517007037864,0.01620782657654067,0.0007138167397735922,-0.037419459402670927,0.015548629783720975,-0.04787290824932139,0.012088527281576406
dim_122,0.021543909892943656,0.09795672111752125,0.11910001185007553,0.10768427903065951,0.10628687300325404,0.07706924753906788,-0.07096902072079123,0.029947137577315746,0.01669243690132903
dim_123,0.011877819533692652,-0.0013626142689188096,0.032458926084143414,-0.06639296693150973,-0.06148286639328512,-0.02055938189153358,0.038766720078785497,-0.02456115852335331,0.003860333386146441
dim_124,-0.054923477361852886,-0.05267040988981974,-0.03201289631868014,0.020815779425292013,-0.015358138997082056,-0.018867100892829936,0.04752700625108543,-0.03680560995011961,0.06902805799130975
dim_125,-0.00638378349443032,0.024630980063172016,0.032888558706648634,-0.012123155887654502,-0.0005763291018113447,0.007795516640675236,-0.009133286988350196,-0.024508127661262306,0.017920460346311565
dim_126,0.013572461149231512,-0.005554506421063993,-0.008167556696782733,0.048248779412933894,0.04158805845231857,-0.015703067743999214,0.004232470699803834,-0.024121583471217727,-0.004629150075234384
dim_127,-0.017256355221796485,0.017967318892525296,0.03073606023607996,0.011886288149047752,0.0003650165877102256,-0.03349335926463341,-0.01090508410707153,-0.06902434102444975,0.0025766317279055984
dim_128,0.023024830454160525,-0.016616667075783395,-0.05056903257239904,-0.018793534040183125,-0.0012316907464817164,0.019150055107293246,-0.014269761361350823,-0.018898306152648117,-0.04751615319404088
dim_129,-0.06704952936544371,-0.03302622976774411,-0.03658474986668448,0.010873686515394635,0.0020411124578303126,-0.015000449498542547,-0.027938694192353355,-0.04511809786279274,-0.0051245261118433375
dim_130,0.004018913209237556,-0.012005828508944537,0.00014159933597544125,0.014870575950507421,0.025108077713271282,0.06507950294580545,-0.011060808760675488,0.006439634774202764,-0.013385623668216991
dim_131,-0.01714919852201639,-0.039921768202817044,-0.032705136618469854,0.03645835658740517,0.019598736210620218,-0.05325946155823168,0.035518392218271286,-0.040121725344420996,0.05205413189864034
dim_132,0.026465768246819513,-0.027358995611056033,-0.015669534418876693,-0.06353955087355197,-0.058290891721971036,0.019409157494185827,0.03481152840983159,0.08464885300705867,0.012500533294409729
dim_133,0.052995020645587566,-0.005159562065798954,-0.004359470873428569,0.02253544077929782,0.0325341678065661,0.00016232304249511233,-0.05871667974305147,0.016124474948200688,0.05862257171553595
dim_134,0.011956759713774244,-0.04326794561299781,-0.027023744643760818,-0.016644518328070707,-0.028725020403391355,-0.034676443815996646,0.0121746352850127,0.02014512025558826,0.06823203447944122
dim_135,0.03268718972061121,0.02912008979437086,0.04499908154592291,0.03018713583697862,0.03901463942223358,-0.021894742340780433,0.004567343379992266,0.020991518586290392,0.03979568539248549
dim_136,0.04812111843054849,0.01659844015229829,0.04768910700417296,0.03194746715805091,0.0426682693235471,0.018820690034799827,-0.023522404421801393,-0.009002070760820807,0.038112010201720996
dim_137,0.026520991226163828,0.04763485462601371,0.01934199335466893,0.03847403087954009,0.018569720683399012,0.03263700108125863,-0.004672497119279686,-0.025857131710366812,-0.022573397705617858
dim_138,-0.012255395485266114,-0.009876378586993324,-0.016948453449132247,0.01201567122992665,0.016049857938547206,-0.012677309696004703,-0.0026693936596719954,-0.02553224815281128,-0.04870301125659961
dim_139,-0.024999583325550415,-0.020298633138620174,-0.007325504413296674,0.05588587303328121,0.0469331868870875,-0.07348178463967564,0.02118733661935008,0.002166375667089581,0.010909498390414954
dim_140,-0.011250715596024568,-0.05715021864674246,-0.05213042000675063,-0.0601227471063504,-0.04269989391666153,-0.006524028147555575,0.010726567116023015,0.021221512498036103,0.037454346766248446
dim_141,-0.07053669954241401,-0.046157684788766175,-0.015750751808817857,0.048893684984545015,0.02234614859016763,-0.06825994899676331,0.0613434289603966,-0.08924919503528142,0.012760407770883582
dim_142,-0.06798711532701886,0.01653354869591818,0.04366972461732903,0.04209843833002802,0.03441731722851606,-0.03141884927756804,-0.029447456764724742,-0.03977947575924756,0.016469665053902533
dim_143,0.03482603333223269,0.007581628665543385,0.017221276735470185,0.03447663365168105,0.03812800904892439,0.0492982674808697,-0.035399022732755824,0.08680984171996003,0.00048171008892785135
dim_144,-0.004130339948300143,0.043140570193289374,-0.002188831299921709,0.026059417019006003,0.038901845444573514,0.0023268846203568774,-0.05822072546548618,-0.0603810373257697,-0.06022428837734636
